vector,latency,accuracy,mem
"[0, 0, 0, 1, 0, 1, 0, 0, 1]",0.5216314792633057,0.23354123532772064,2050.3
"[0, 0, 0, 1, 0, 1, 0, 1, 0]",0.5055170059204102,0.22065141797065735,2067.5
"[0, 0, 0, 1, 0, 1, 0, 1, 1]",0.5542359352111816,0.23021483421325684,2054.7
"[0, 0, 0, 1, 0, 1, 1, 0, 0]",0.5195791721343994,0.22162161767482758,2040.3
"[0, 0, 0, 1, 0, 1, 1, 0, 1]",0.555952787399292,0.22383922338485718,2051.1
"[0, 0, 0, 1, 0, 1, 1, 1, 0]",0.5181388854980469,0.227027028799057,2050.3
"[0, 0, 0, 1, 0, 1, 1, 1, 1]",0.5605120658874512,0.8238392472267151,2059.5
"[0, 0, 0, 1, 0, 2, 0, 0, 0]",0.5079925060272217,0.22439362108707428,2070.7
"[0, 0, 0, 1, 0, 2, 0, 0, 1]",0.519874095916748,0.22966043651103973,2063.9
"[0, 0, 0, 1, 0, 2, 0, 1, 0]",0.508333683013916,0.22051282227039337,2067.5
"[0, 0, 0, 1, 0, 2, 0, 1, 1]",0.538456916809082,0.23354123532772064,2050.3
"[0, 0, 0, 1, 0, 2, 1, 0, 0]",0.5172953605651855,0.2153846174478531,2059.5
"[0, 0, 0, 1, 0, 2, 1, 0, 1]",0.528247594833374,0.21787941455841064,2063.9
"[0, 0, 0, 1, 0, 2, 1, 1, 0]",0.5561342239379883,0.22439362108707428,2050.3
"[0, 0, 0, 1, 0, 2, 1, 1, 1]",0.5344312191009521,0.790020763874054,2051.1
"[0, 0, 0, 1, 0, 3, 0, 0, 0]",0.5130653381347656,0.22799722850322723,2005.1
"[0, 0, 0, 1, 0, 3, 0, 0, 1]",0.5235137939453125,0.22688843309879303,2035.5
"[0, 0, 0, 1, 0, 3, 0, 1, 0]",0.5191614627838135,0.21607761085033417,1963.5
"[0, 0, 0, 1, 0, 3, 0, 1, 1]",0.5367128849029541,0.23839223384857178,2037.5
"[0, 0, 0, 1, 0, 3, 1, 0, 0]",0.5295898914337158,0.21843381226062775,2040.3
"[0, 0, 0, 1, 0, 3, 1, 0, 1]",0.572152853012085,0.2225918173789978,2050.3
"[0, 0, 0, 1, 0, 3, 1, 1, 0]",0.5241241455078125,0.21829521656036377,2050.3
"[0, 0, 0, 1, 0, 3, 1, 1, 1]",0.5341088771820068,0.8151074051856995,2050.3
"[0, 0, 0, 1, 0, 4, 0, 0, 0]",0.516244649887085,0.2264726310968399,2014.7
"[0, 0, 0, 1, 0, 4, 0, 0, 1]",0.5169126987457275,0.21968121826648712,2070.7
"[0, 0, 0, 1, 0, 4, 0, 1, 0]",0.552126407623291,0.2152460217475891,2053.1
"[0, 0, 0, 1, 0, 4, 0, 1, 1]",0.5224778652191162,0.24088704586029053,2029.5
"[0, 0, 0, 1, 0, 4, 1, 0, 0]",0.5226716995239258,0.21635481715202332,2011.5
"[0, 0, 0, 1, 0, 4, 1, 0, 1]",0.518474817276001,0.21884961426258087,2059.5
"[0, 0, 0, 1, 0, 4, 1, 1, 0]",0.5215346813201904,0.22397781908512115,2067.5
"[0, 0, 0, 1, 0, 4, 1, 1, 1]",0.5340473651885986,0.8049895763397217,2063.9
"[0, 0, 0, 1, 1, 0, 0, 0, 0]",0.5550632476806641,0.22245322167873383,2112.3
"[0, 0, 0, 1, 1, 0, 0, 0, 1]",0.4815502166748047,0.2176022231578827,2122.3
"[0, 0, 0, 1, 1, 0, 0, 1, 0]",0.5130875110626221,0.2275814265012741,2135.9
"[0, 0, 0, 1, 1, 0, 0, 1, 1]",0.5589141845703125,0.22134442627429962,2121.1
"[0, 0, 0, 1, 1, 0, 1, 0, 0]",0.5053360462188721,0.22023561596870422,2065.4
"[0, 0, 0, 1, 1, 0, 1, 0, 1]",0.5048511028289795,0.22342342138290405,2135.9
"[0, 0, 0, 1, 1, 0, 1, 1, 0]",0.5184354782104492,0.8316008448600769,2107.5
"[0, 0, 0, 1, 1, 0, 1, 1, 1]",0.5668189525604248,0.9046431183815002,2123.1
"[0, 0, 0, 1, 1, 1, 0, 0, 0]",0.5251684188842773,0.22134442627429962,2051.1
"[0, 0, 0, 1, 1, 1, 0, 0, 1]",0.5182881355285645,0.23187802731990814,2050.3
"[0, 0, 0, 1, 1, 1, 0, 1, 0]",0.5259926319122314,0.2203742265701294,2067.5
"[0, 0, 0, 1, 1, 1, 0, 1, 1]",0.5190231800079346,0.24559944868087769,2017.1
"[0, 0, 0, 1, 1, 1, 1, 0, 0]",0.512340784072876,0.21344421803951263,2050.3
"[0, 0, 0, 1, 1, 1, 1, 0, 1]",0.5331487655639648,0.22162161767482758,2050.3
"[0, 0, 0, 1, 1, 1, 1, 1, 0]",0.5352742671966553,0.8038808107376099,2067.5
"[0, 0, 0, 1, 1, 1, 1, 1, 1]",0.5789012908935547,0.851143479347229,2046.7
"[0, 0, 0, 1, 1, 2, 0, 0, 0]",0.5356550216674805,0.2176022231578827,2067.5
"[0, 0, 0, 1, 1, 2, 0, 0, 1]",0.5205373764038086,0.2281358242034912,2053.9
"[0, 0, 0, 1, 1, 2, 0, 1, 0]",0.5327379703521729,0.22065141797065735,2063.9
"[0, 0, 0, 1, 1, 2, 0, 1, 1]",0.5323648452758789,0.23811504244804382,2053.1
"[0, 0, 0, 1, 1, 2, 1, 0, 0]",0.5197229385375977,0.2159390151500702,2045.5
"[0, 0, 0, 1, 1, 2, 1, 0, 1]",0.5271308422088623,0.21663202345371246,2046.7
"[0, 0, 0, 1, 1, 2, 1, 1, 0]",0.521237850189209,0.42425501346588135,2050.3
"[0, 0, 0, 1, 1, 2, 1, 1, 1]",0.5563621520996094,0.83201664686203,2046.7
"[0, 0, 0, 1, 1, 3, 0, 0, 0]",0.5224738121032715,0.21801802515983582,2067.5
"[0, 0, 0, 1, 1, 3, 0, 0, 1]",0.5815572738647461,0.22938323020935059,2035.5
"[0, 0, 0, 1, 1, 3, 0, 1, 0]",0.5269618034362793,0.21954262256622314,2054.7
